from_stop_id,to_stop_id,time_type,aggregated_mean,aggregated_sample_size,route_id,direction_id,route_mean,route_sample_size
9022005000042002,9022005000046004,am_rush,112.8,5154,9011005020100000,0,114.55,1410
9022005000042002,9022005000046004,am_rush,112.8,5154,9011005020200000,0,110.51,1171
9022005000042002,9022005000046004,am_rush,112.8,5154,9011005020400000,0,110.74,1170
9022005000042002,9022005000046004,am_rush,112.8,5154,9011005020500000,0,114.67,1403
9022005000043002,9022005001227002,am_rush,101.5,2813,9011005020100000,0,101.79,1407
9022005000043002,9022005001227002,am_rush,101.5,2813,9011005021400000,0,101.52,702
9022005000043002,9022005001227002,am_rush,101.5,2813,9011005021500000,0,100.89,704
9022005000045002,9022005001231002,am_rush,57.22,3204,9011005020100000,0,57.45,1407
9022005000045002,9022005001231002,am_rush,57.22,3204,9011005021400000,0,58.94,702
9022005000045002,9022005001231002,am_rush,57.22,3204,9011005021500000,0,53.57,704
9022005000045002,9022005001231002,am_rush,57.22,3204,9011005022200000,1,59.87,391
9022005000046004,9022005000050003,am_rush,418.85,197,9011005020100000,0,418.85,197
9022005000046004,9022005001243002,am_rush,86.09,4438,9011005020100000,0,85.28,1213
9022005000046004,9022005001243002,am_rush,86.09,4438,9011005020200000,0,85.43,1009
9022005000046004,9022005001243002,am_rush,86.09,4438,9011005020400000,0,86.17,1008
9022005000046004,9022005001243002,am_rush,86.09,4438,9011005020500000,0,87.4,1208
9022005000050003,9022005001223002,am_rush,159.55,1410,9011005020100000,0,159.55,1410
9022005000417003,9022005001219002,am_rush,70.56,1409,9011005020100000,0,70.56,1409
9022005001219002,9022005001234002,am_rush,94.48,1410,9011005020100000,0,94.48,1410
9022005001221002,9022005000042002,am_rush,108.65,6168,9011005020100000,0,107.48,1409
9022005001221002,9022005000042002,am_rush,108.65,6168,9011005020500000,0,107.64,1403
9022005001221002,9022005000042002,am_rush,108.65,6168,9011005021000000,1,113.61,1016
9022005001221002,9022005000042002,am_rush,108.65,6168,9011005021300000,0,107.5,934
9022005001221002,9022005000042002,am_rush,108.65,6168,9011005021400000,0,109.13,702
9022005001221002,9022005000042002,am_rush,108.65,6168,9011005021500000,0,106.86,704
9022005001223002,9022005000417003,am_rush,82.06,1410,9011005020100000,0,82.06,1410
9022005001227002,9022005001221002,am_rush,101.95,2813,9011005020100000,0,102.71,1407
9022005001227002,9022005001221002,am_rush,101.95,2813,9011005021400000,0,102.26,702
9022005001227002,9022005001221002,am_rush,101.95,2813,9011005021500000,0,100.13,704
9022005001229002,9022005001230002,am_rush,49.05,2031,9011005020100000,0,57.41,1406
9022005001229002,9022005001230002,am_rush,49.05,2031,9011005021700000,1,30.25,625
9022005001230002,9022005001233002,am_rush,86.55,1406,9011005020100000,0,86.55,1406
9022005001231002,9022005000043002,am_rush,116.12,2813,9011005020100000,0,121.37,1407
9022005001231002,9022005000043002,am_rush,116.12,2813,9011005021400000,0,115.28,702
9022005001231002,9022005000043002,am_rush,116.12,2813,9011005021500000,0,106.46,704
9022005001232002,9022005000045002,am_rush,56.99,2502,9011005020100000,0,58.16,1407
9022005001232002,9022005000045002,am_rush,56.99,2502,9011005021500000,0,55.91,704
9022005001232002,9022005000045002,am_rush,56.99,2502,9011005022200000,1,54.7,391
9022005001233002,9022005001232002,am_rush,47.23,2502,9011005020100000,0,49.78,1407
9022005001233002,9022005001232002,am_rush,47.23,2502,9011005021500000,0,44.16,704
9022005001233002,9022005001232002,am_rush,47.23,2502,9011005022200000,1,43.57,391
9022005001234002,9022005001235002,am_rush,40.13,1410,9011005020100000,0,40.13,1410
9022005001235002,9022005001236003,am_rush,108.61,1410,9011005020100000,0,108.61,1410
9022005001236003,9022005001411002,am_rush,54.05,2813,9011005020100000,0,55.56,1410
9022005001236003,9022005001411002,am_rush,54.05,2813,9011005020500000,0,52.53,1403
9022005001243002,9022005000050003,am_rush,266.1,1213,9011005020100000,0,266.1,1213
9022005001411002,9022005000048001,am_rush,207.77,2813,9011005020100000,0,219.54,1410
9022005001411002,9022005000048001,am_rush,207.77,2813,9011005020500000,0,195.95,1403
9022005000042002,9022005000046004,day,130.68,9655,9011005020100000,0,133.08,2896
9022005000042002,9022005000046004,day,130.68,9655,9011005020200000,0,125.44,1933
9022005000042002,9022005000046004,day,130.68,9655,9011005020400000,0,126.91,1932
9022005000042002,9022005000046004,day,130.68,9655,9011005020500000,0,134.29,2894
9022005000043002,9022005001227002,day,98.03,4903,9011005020100000,0,99.31,2891
9022005000043002,9022005001227002,day,98.03,4903,9011005021400000,0,98.1,1046
9022005000043002,9022005001227002,day,98.03,4903,9011005021500000,0,94.14,966
9022005000045002,9022005001231002,day,50.21,4902,9011005020100000,0,50.82,2891
9022005000045002,9022005001231002,day,50.21,4902,9011005021400000,0,50.0,1046
9022005000045002,9022005001231002,day,50.21,4902,9011005021500000,0,48.62,965
9022005000046004,9022005000050003,day,390.5,396,9011005020100000,0,390.5,396
9022005000046004,9022005001243002,day,92.75,8340,9011005020100000,0,92.46,2501
