from_stop_id,to_stop_id,time_type,aggregated_mean,aggregated_sample_size,route_id,direction_id,route_mean,route_sample_size
9022005000042002,9022005000046004,am_rush,117.11,37682,9011005020100000,0,117.55,10271
9022005000042002,9022005000046004,am_rush,117.11,37682,9011005020200000,0,115.46,8969
9022005000042002,9022005000046004,am_rush,117.11,37682,9011005020400000,0,115.76,8972
9022005000042002,9022005000046004,am_rush,117.11,37682,9011005020500000,0,119.48,9470
9022005000043002,9022005001227002,am_rush,101.27,20979,9011005020100000,0,101.57,10265
9022005000043002,9022005001227002,am_rush,101.27,20979,9011005021400000,0,101.67,5271
9022005000043002,9022005001227002,am_rush,101.27,20979,9011005021500000,0,100.3,5443
9022005000045002,9022005001231002,am_rush,58.6,23984,9011005020100000,0,58.66,10265
9022005000045002,9022005001231002,am_rush,58.6,23984,9011005021400000,0,59.84,5270
9022005000045002,9022005001231002,am_rush,58.6,23984,9011005021500000,0,56.42,5442
9022005000045002,9022005001231002,am_rush,58.6,23984,9011005022200000,1,60.13,3007
9022005000046004,9022005000050003,am_rush,418.85,197,9011005020100000,0,418.85,197
9022005000046004,9022005001243002,am_rush,84.77,38196,9011005020100000,0,84.06,10075
9022005000046004,9022005001243002,am_rush,84.77,38196,9011005020200000,0,84.45,8807
9022005000046004,9022005001243002,am_rush,84.77,38196,9011005020300000,0,82.13,1079
9022005000046004,9022005001243002,am_rush,84.77,38196,9011005020400000,0,84.62,8810
9022005000046004,9022005001243002,am_rush,84.77,38196,9011005020500000,0,86.51,9275
9022005000046004,9022005001243002,am_rush,84.77,38196,9011005020600000,0,72.18,150
9022005000050003,9022005001223002,am_rush,162.69,9922,9011005020100000,0,162.69,9922
9022005000050003,9022005003849002,am_rush,257.58,346,9011005020100000,0,257.58,346
9022005000417003,9022005001219002,am_rush,68.38,9939,9011005020100000,0,68.38,9939
9022005001219002,9022005001234002,am_rush,100.12,9960,9011005020100000,0,100.12,9960
9022005001221002,9022005000042002,am_rush,110.02,45314,9011005020100000,0,108.79,10270
9022005001221002,9022005000042002,am_rush,110.02,45314,9011005020500000,0,109.61,9468
9022005001221002,9022005000042002,am_rush,110.02,45314,9011005021000000,1,113.04,7628
9022005001221002,9022005000042002,am_rush,110.02,45314,9011005021300000,0,110.42,7227
9022005001221002,9022005000042002,am_rush,110.02,45314,9011005021400000,0,111.1,5272
9022005001221002,9022005000042002,am_rush,110.02,45314,9011005021500000,0,107.23,5449
9022005001223002,9022005000417003,am_rush,82.67,9924,9011005020100000,0,82.67,9924
9022005001227002,9022005001221002,am_rush,105.14,20983,9011005020100000,0,105.67,10268
9022005001227002,9022005001221002,am_rush,105.14,20983,9011005021400000,0,105.7,5271
9022005001227002,9022005001221002,am_rush,105.14,20983,9011005021500000,0,103.59,5444
9022005001229002,9022005001230002,am_rush,49.03,15092,9011005020100000,0,57.17,10259
9022005001229002,9022005001230002,am_rush,49.03,15092,9011005021700000,1,31.76,4833
9022005001230002,9022005001233002,am_rush,86.73,10259,9011005020100000,0,86.73,10259
9022005001231002,9022005000043002,am_rush,119.31,20977,9011005020100000,0,124.3,10265
9022005001231002,9022005000043002,am_rush,119.31,20977,9011005021400000,0,117.49,5270
9022005001231002,9022005000043002,am_rush,119.31,20977,9011005021500000,0,111.65,5442
9022005001232002,9022005000045002,am_rush,57.95,18713,9011005020100000,0,58.34,10264
9022005001232002,9022005000045002,am_rush,57.95,18713,9011005021500000,0,57.22,5442
9022005001232002,9022005000045002,am_rush,57.95,18713,9011005022200000,1,57.92,3007
9022005001233002,9022005001232002,am_rush,48.25,18711,9011005020100000,0,50.14,10262
9022005001233002,9022005001232002,am_rush,48.25,18711,9011005021500000,0,46.45,5442
9022005001233002,9022005001232002,am_rush,48.25,18711,9011005022200000,1,45.07,3007
9022005001234002,9022005001235002,am_rush,40.83,10317,9011005020100000,0,40.83,10317
9022005001235002,9022005001236003,am_rush,126.47,10317,9011005020100000,0,126.47,10317
9022005001236003,9022005001411002,am_rush,47.06,20035,9011005020100000,0,47.57,10317
9022005001236003,9022005001411002,am_rush,47.06,20035,9011005020500000,0,46.51,9718
9022005001243002,9022005000050003,am_rush,254.84,10073,9011005020100000,0,254.84,10073
9022005001411002,9022005000048001,am_rush,145.29,20000,9011005020100000,0,151.18,10300
9022005001411002,9022005000048001,am_rush,145.29,20000,9011005020500000,0,139.03,9700
9022005003849002,9022005001234002,am_rush,86.14,347,9011005020100000,0,86.14,347
9022005000042002,9022005000046004,day,132.67,65430,9011005020100000,0,135.04,19618
9022005000042002,9022005000046004,day,132.67,65430,9011005020200000,0,127.32,14122
9022005000042002,9022005000046004,day,132.67,65430,9011005020400000,0,129.28,14380
9022005000042002,9022005000046004,day,132.67,65430,9011005020500000,0,137.17,17310
9022005000043002,9022005001227002,day,99.63,35381,9011005020100000,0,99.88,19602
9022005000043002,9022005001227002,day,99.63,35381,9011005021400000,0,100.48,8020
9022005000043002,9022005001227002,day,99.63,35381,9011005021500000,0,98.11,7759
9022005000045002,9022005001231002,day,51.98,35376,9011005020100000,0,52.52,19601
9022005000045002,9022005001231002,day,51.98,35376,9011005021400000,0,52.2,8021
9022005000045002,9022005001231002,day,51.98,35376,9011005021500000,0,50.41,7754
9022005000046004,9022005000050003,day,390.5,396,9011005020100000,0,390.5,396
