from_stop_id,from_stop_name,to_stop_id,to_stop_name,time_type,aggregated_mean,aggregated_sample_size,route_id,direction_id,route_mean,route_sample_size
9022005000042002,Tinnerbäcksbadet,9022005000046004,Trädgårdstorget,am_rush,117.11,37682,9011005020100000,0,117.55,10271
9022005000042002,Tinnerbäcksbadet,9022005000046004,Trädgårdstorget,am_rush,117.11,37682,9011005020200000,0,115.46,8969
9022005000042002,Tinnerbäcksbadet,9022005000046004,Trädgårdstorget,am_rush,117.11,37682,9011005020400000,0,115.76,8972
9022005000042002,Tinnerbäcksbadet,9022005000046004,Trädgårdstorget,am_rush,117.11,37682,9011005020500000,0,119.48,9470
9022005000043002,Berga Söderleden,9022005001227002,Majelden,am_rush,101.27,20979,9011005020100000,0,101.57,10265
9022005000043002,Berga Söderleden,9022005001227002,Majelden,am_rush,101.27,20979,9011005021400000,0,101.67,5271
9022005000043002,Berga Söderleden,9022005001227002,Majelden,am_rush,101.27,20979,9011005021500000,0,100.3,5443
9022005000045002,Resedan,9022005001231002,Ridhusgatan,am_rush,58.6,23984,9011005020100000,0,58.66,10265
9022005000045002,Resedan,9022005001231002,Ridhusgatan,am_rush,58.6,23984,9011005021400000,0,59.84,5270
9022005000045002,Resedan,9022005001231002,Ridhusgatan,am_rush,58.6,23984,9011005021500000,0,56.42,5442
9022005000045002,Resedan,9022005001231002,Ridhusgatan,am_rush,58.6,23984,9011005022200000,1,60.13,3007
9022005000046004,Trädgårdstorget,9022005000050003,Linköpings resecentrum,am_rush,418.85,197,9011005020100000,0,418.85,197
9022005000046004,Trädgårdstorget,9022005001243002,Kungsgatan,am_rush,84.77,38196,9011005020100000,0,84.06,10075
9022005000046004,Trädgårdstorget,9022005001243002,Kungsgatan,am_rush,84.77,38196,9011005020200000,0,84.45,8807
9022005000046004,Trädgårdstorget,9022005001243002,Kungsgatan,am_rush,84.77,38196,9011005020300000,0,82.13,1079
9022005000046004,Trädgårdstorget,9022005001243002,Kungsgatan,am_rush,84.77,38196,9011005020400000,0,84.62,8810
9022005000046004,Trädgårdstorget,9022005001243002,Kungsgatan,am_rush,84.77,38196,9011005020500000,0,86.51,9275
9022005000046004,Trädgårdstorget,9022005001243002,Kungsgatan,am_rush,84.77,38196,9011005020600000,0,72.18,150
9022005000050003,Linköpings resecentrum,9022005001223002,Klostergatan,am_rush,162.69,9922,9011005020100000,0,162.69,9922
9022005000050003,Linköpings resecentrum,9022005003849002,Abisko centrum,am_rush,257.58,346,9011005020100000,0,257.58,346
9022005000417003,Konsert & Kongress,9022005001219002,Abisko,am_rush,68.38,9939,9011005020100000,0,68.38,9939
9022005001219002,Abisko,9022005001234002,Åbylund,am_rush,100.12,9960,9011005020100000,0,100.12,9960
9022005001221002,Folkungavallen,9022005000042002,Tinnerbäcksbadet,am_rush,110.02,45314,9011005020100000,0,108.79,10270
9022005001221002,Folkungavallen,9022005000042002,Tinnerbäcksbadet,am_rush,110.02,45314,9011005020500000,0,109.61,9468
9022005001221002,Folkungavallen,9022005000042002,Tinnerbäcksbadet,am_rush,110.02,45314,9011005021000000,1,113.04,7628
9022005001221002,Folkungavallen,9022005000042002,Tinnerbäcksbadet,am_rush,110.02,45314,9011005021300000,0,110.42,7227
9022005001221002,Folkungavallen,9022005000042002,Tinnerbäcksbadet,am_rush,110.02,45314,9011005021400000,0,111.1,5272
9022005001221002,Folkungavallen,9022005000042002,Tinnerbäcksbadet,am_rush,110.02,45314,9011005021500000,0,107.23,5449
9022005001223002,Klostergatan,9022005000417003,Konsert & Kongress,am_rush,82.67,9924,9011005020100000,0,82.67,9924
9022005001227002,Majelden,9022005001221002,Folkungavallen,am_rush,105.14,20983,9011005020100000,0,105.67,10268
9022005001227002,Majelden,9022005001221002,Folkungavallen,am_rush,105.14,20983,9011005021400000,0,105.7,5271
9022005001227002,Majelden,9022005001221002,Folkungavallen,am_rush,105.14,20983,9011005021500000,0,103.59,5444
9022005001229002,Strågatan,9022005001230002,Middagsgatan,am_rush,49.03,15092,9011005020100000,0,57.17,10259
9022005001229002,Strågatan,9022005001230002,Middagsgatan,am_rush,49.03,15092,9011005021700000,1,31.76,4833
9022005001230002,Middagsgatan,9022005001233002,Grindgatan,am_rush,86.73,10259,9011005020100000,0,86.73,10259
9022005001231002,Ridhusgatan,9022005000043002,Berga Söderleden,am_rush,119.31,20977,9011005020100000,0,124.3,10265
9022005001231002,Ridhusgatan,9022005000043002,Berga Söderleden,am_rush,119.31,20977,9011005021400000,0,117.49,5270
9022005001231002,Ridhusgatan,9022005000043002,Berga Söderleden,am_rush,119.31,20977,9011005021500000,0,111.65,5442
9022005001232002,Myntgatan,9022005000045002,Resedan,am_rush,57.95,18713,9011005020100000,0,58.34,10264
9022005001232002,Myntgatan,9022005000045002,Resedan,am_rush,57.95,18713,9011005021500000,0,57.22,5442
9022005001232002,Myntgatan,9022005000045002,Resedan,am_rush,57.95,18713,9011005022200000,1,57.92,3007
9022005001233002,Grindgatan,9022005001232002,Myntgatan,am_rush,48.25,18711,9011005020100000,0,50.14,10262
9022005001233002,Grindgatan,9022005001232002,Myntgatan,am_rush,48.25,18711,9011005021500000,0,46.45,5442
9022005001233002,Grindgatan,9022005001232002,Myntgatan,am_rush,48.25,18711,9011005022200000,1,45.07,3007
9022005001234002,Åbylund,9022005001235002,Blomgatan,am_rush,40.83,10317,9011005020100000,0,40.83,10317
9022005001235002,Blomgatan,9022005001236003,Rusthållaregården,am_rush,126.47,10317,9011005020100000,0,126.47,10317
9022005001236003,Rusthållaregården,9022005001411002,Mellangården,am_rush,47.06,20035,9011005020100000,0,47.57,10317
9022005001236003,Rusthållaregården,9022005001411002,Mellangården,am_rush,47.06,20035,9011005020500000,0,46.51,9718
9022005001243002,Kungsgatan,9022005000050003,Linköpings resecentrum,am_rush,254.84,10073,9011005020100000,0,254.84,10073
