violation_type,severity,description,route_id,route_name,route_short_name,stop_id,stop_name,direction_id,details,route_long_name,source
missing_stop_coverage,medium,"Stop Kungsgatan, with stop_id 9022005001243002 in canonical position 13 is missing from 13.5% of trips in direction 0",9011005020100000,201,1,9022005001243002,Kungsgatan,0,"{'canonical_position': 13, 'missing_count': 1283, 'total_trips': 9477, 'missing_percentage': 13.5}",201,direction_topology
missing_stop_coverage,medium,"Stop Kungsgatan, with stop_id 9022005001243001 in canonical position 10 is missing from 14.2% of trips in direction 1",9011005020100000,201,1,9022005001243001,Kungsgatan,1,"{'canonical_position': 10, 'missing_count': 1390, 'total_trips': 9775, 'missing_percentage': 14.2}",201,direction_topology
diverse_patterns_in_direction,low,Direction 0 has 12 alternative patterns.,9011005020100000,201,1,,,0,"{'canonical_pattern': {'1-22': 8184}, 'alternative_patterns': {'1-12_14-22': 1275, '9-12_14-22': 1, '3-12_14-22': 1, '11-12_14-22': 1, '2-22': 1, '11-22': 1, '9-22': 2, '14-22': 4, '10-22': 4, '13-22': 1, '8-22': 1, '16-22': 1}}",201,direction_topology
diverse_patterns_in_direction,low,Direction 1 has 11 alternative patterns.,9011005020100000,201,1,,,1,"{'canonical_pattern': {'1-22': 8377}, 'alternative_patterns': {'1-9': 78, '1-9_11-22': 1307, '3-9_11-22': 1, '9-22': 1, '10-22': 2, '12-22': 2, '22': 1, '6-22': 1, '7-22': 3, '5-22': 1, '11-22': 1}}",201,direction_topology
missing_stop_coverage,medium,"Stop Infanterivägen, with stop_id 9022005000404002 in canonical position 7 is missing from 11.8% of trips in direction 0",9011005020200000,202,2,9022005000404002,Infanterivägen,0,"{'canonical_position': 7, 'missing_count': 888, 'total_trips': 7502, 'missing_percentage': 11.8}",202,direction_topology
missing_stop_coverage,medium,"Stop Kungsgatan, with stop_id 9022005001243002 in canonical position 12 is missing from 13.4% of trips in direction 0",9011005020200000,202,2,9022005001243002,Kungsgatan,0,"{'canonical_position': 12, 'missing_count': 1009, 'total_trips': 7502, 'missing_percentage': 13.4}",202,direction_topology
missing_stop_coverage,medium,"Stop Kungsgatan, with stop_id 9022005001243001 in canonical position 2 is missing from 13.5% of trips in direction 1",9011005020200000,202,2,9022005001243001,Kungsgatan,1,"{'canonical_position': 2, 'missing_count': 994, 'total_trips': 7366, 'missing_percentage': 13.5}",202,direction_topology
missing_stop_coverage,medium,"Stop Infanterivägen, with stop_id 9022005000404001 in canonical position 7 is missing from 11.9% of trips in direction 1",9011005020200000,202,2,9022005000404001,Infanterivägen,1,"{'canonical_position': 7, 'missing_count': 873, 'total_trips': 7366, 'missing_percentage': 11.9}",202,direction_topology
diverse_patterns_in_direction,low,Direction 0 has 9 alternative patterns.,9011005020200000,202,2,,,0,"{'canonical_pattern': {'1-13': 5601}, 'alternative_patterns': {'1-11_13': 1009, '3-13': 1, '2-13': 1, '4-13': 1, '6-13': 1, '1-6*8-13': 884, '8-13': 2, '10-13': 1, '6*8-13': 1}}",202,direction_topology
diverse_patterns_in_direction,low,Direction 1 has 4 alternative patterns.,9011005020200000,202,2,,,1,"{'canonical_pattern': {'1-13': 5499}, 'alternative_patterns': {'1_3-13': 991, '4-13': 1, '5-13': 2, '1-6*8-13': 873}}",202,direction_topology
